Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
59*,59,40,147.5,6,3,New Zealand,Basseterre,07/16/2012,Andre Russell,2012,2012
0,0,3,0.0,0,0,Bangladesh,Khulna,11/30/2012,Andre Russell,2012,2012
9,9,15,60.0,1,0,Bangladesh,Khulna,12/02/2012,Andre Russell,2012,2012
0,0,4,0.0,0,0,Bangladesh,Dhaka,12/08/2012,Andre Russell,2012,2012
43,43,31,138.7,6,1,Australia,Canberra,02/06/2013,Andre Russell,2013,2013
18,18,17,105.88,1,1,Australia,Sydney,02/08/2013,Andre Russell,2013,2013
4,4,9,44.44,0,0,Zimbabwe,St George's,02/22/2013,Andre Russell,2013,2013
6*,6,3,200.0,1,0,New Zealand,Hamilton,01/08/2014,Andre Russell,2014,2014
1,1,2,50.0,0,0,India,Kochi,10/08/2014,Andre Russell,2014,2014
4,4,6,66.66,0,0,India,Delhi,10/11/2014,Andre Russell,2014,2014
46,46,23,200.0,6,3,India,Dharamsala,10/17/2014,Andre Russell,2014,2014
19,19,8,237.5,1,2,South Africa,Durban,01/16/2015,Andre Russell,2015,2015
0,0,1,0.0,0,0,South Africa,Johannesburg,01/18/2015,Andre Russell,2015,2015
16,16,25,64.0,2,0,South Africa,East London,01/21/2015,Andre Russell,2015,2015
64*,64,40,160.0,5,5,South Africa,Port Elizabeth,01/25/2015,Andre Russell,2015,2015
24,24,12,200.0,4,1,South Africa,Centurion,01/28/2015,Andre Russell,2015,2015
27*,27,13,207.69,3,1,Ireland,Nelson,02/16/2015,Andre Russell,2015,2015
42*,42,13,323.07,3,4,Pakistan,Christchurch,02/21/2015,Andre Russell,2015,2015
0,0,3,0.0,0,0,South Africa,Sydney,02/27/2015,Andre Russell,2015,2015
8,8,8,100.0,0,1,India,Perth,03/06/2015,Andre Russell,2015,2015
7,7,8,87.5,0,1,U.A.E.,Napier,03/15/2015,Andre Russell,2015,2015
20,20,11,181.81,1,2,New Zealand,Wellington,03/21/2015,Andre Russell,2015,2015
41,41,24,170.83,3,3,Sri Lanka,Colombo (RPS),11/01/2015,Andre Russell,2015,2015
13,13,12,108.33,1,1,Bangladesh,Providence,07/22/2018,Andre Russell,2018,2018
0,0,3,0.0,0,0,Bangladesh,Roseau,07/26/2009,Kemar Roach,2009,2009
10,10,11,90.9,1,0,Bangladesh,Basseterre,07/31/2009,Kemar Roach,2009,2009
3,3,8,37.5,0,0,Australia,Johannesburg,09/26/2009,Kemar Roach,2009,2009
4,4,10,40.0,0,0,India,Johannesburg,09/30/2009,Kemar Roach,2009,2009
0*,0,0,0.0,0,0,Australia,Melbourne,02/07/2010,Kemar Roach,2010,2010
0*,0,0,0.0,0,0,Australia,Adelaide,02/09/2010,Kemar Roach,2010,2010
1*,1,1,100.0,0,0,Zimbabwe,Providence,03/04/2010,Kemar Roach,2010,2010
2*,2,1,200.0,0,0,Zimbabwe,Kingstown,03/10/2010,Kemar Roach,2010,2010
9,9,8,112.5,0,0,Sri Lanka,Colombo (SSC),02/03/2011,Kemar Roach,2011,2011
2*,2,6,33.33,0,0,South Africa,Delhi,02/24/2011,Kemar Roach,2011,2011
1,1,2,50.0,0,0,Ireland,Mohali,03/11/2011,Kemar Roach,2011,2011
0,0,2,0.0,0,0,England,Chennai,03/17/2011,Kemar Roach,2011,2011
16,16,43,37.2,2,0,Pakistan,Dhaka,03/23/2011,Kemar Roach,2011,2011
24,24,40,60.0,2,1,Pakistan,Gros Islet,04/25/2011,Kemar Roach,2011,2011
0,0,6,0.0,0,0,Pakistan,Bridgetown,04/28/2011,Kemar Roach,2011,2011
7*,7,10,70.0,0,0,India,North Sound,06/11/2011,Kemar Roach,2011,2011
4*,4,6,66.66,0,0,India,North Sound,06/13/2011,Kemar Roach,2011,2011
0*,0,18,0.0,0,0,Bangladesh,Chattogram,10/18/2011,Kemar Roach,2011,2011
12*,12,15,80.0,1,0,India,Cuttack,11/29/2011,Kemar Roach,2011,2011
24*,24,36,66.66,3,0,India,Visakhapatnam,12/02/2011,Kemar Roach,2011,2011
7,7,19,36.84,1,0,India,Indore,12/08/2011,Kemar Roach,2011,2011
0,0,15,0.0,0,0,India,Chennai,12/11/2011,Kemar Roach,2011,2011
1*,1,7,14.28,0,0,Australia,Kingstown,03/16/2012,Kemar Roach,2012,2012
9*,9,10,90.0,1,0,Australia,Kingstown,03/20/2012,Kemar Roach,2012,2012
2*,2,7,28.57,0,0,Australia,Gros Islet,03/25/2012,Kemar Roach,2012,2012
3*,3,9,33.33,0,0,Bangladesh,Khulna,11/30/2012,Kemar Roach,2012,2012
3*,3,7,42.85,0,0,Bangladesh,Dhaka,12/07/2012,Kemar Roach,2012,2012
0,0,2,0.0,0,0,Bangladesh,Dhaka,12/08/2012,Kemar Roach,2012,2012
1*,1,2,50.0,0,0,Australia,Perth,02/01/2013,Kemar Roach,2013,2013
0*,0,0,0.0,0,0,Australia,Perth,02/03/2013,Kemar Roach,2013,2013
1*,1,1,100.0,0,0,Australia,Canberra,02/06/2013,Kemar Roach,2013,2013
2*,2,4,50.0,0,0,Australia,Melbourne,02/10/2013,Kemar Roach,2013,2013
5*,5,6,83.33,1,0,Pakistan,The Oval,06/07/2013,Kemar Roach,2013,2013
0*,0,8,0.0,0,0,India,The Oval,06/11/2013,Kemar Roach,2013,2013
14*,14,32,43.75,0,0,India,Kingston,06/30/2013,Kemar Roach,2013,2013
34,34,33,103.03,3,2,India,Port of Spain,07/05/2013,Kemar Roach,2013,2013
8*,8,11,72.72,1,0,Sri Lanka,Port of Spain,07/07/2013,Kemar Roach,2013,2013
1,1,9,11.11,0,0,Pakistan,Providence,07/14/2013,Kemar Roach,2013,2013
0,0,1,0.0,0,0,Pakistan,Providence,07/16/2013,Kemar Roach,2013,2013
6*,6,5,120.0,1,0,Pakistan,Gros Islet,07/19/2013,Kemar Roach,2013,2013
0*,0,0,0.0,0,0,Pakistan,Gros Islet,07/21/2013,Kemar Roach,2013,2013
0*,0,1,0.0,0,0,India,Perth,03/06/2015,Kemar Roach,2015,2015
