Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
8,8,6,133.33,2,0,India,Cape Town,02/07/2018,Imran Tahir,2018,2018
2,2,8,25.0,0,0,India,Centurion,02/16/2018,Imran Tahir,2018,2018
1,1,4,25.0,0,0,Zimbabwe,Bloemfontein,10/03/2018,Imran Tahir,2018,2018
11*,11,11,100.0,2,0,Australia,Adelaide,11/09/2018,Imran Tahir,2018,2018
5,5,9,55.55,1,0,Pakistan,Johannesburg,01/27/2019,Imran Tahir,2019,2019
1*,1,3,33.33,0,0,Sri Lanka,Centurion,03/06/2019,Imran Tahir,2019,2019
1,1,2,50.0,0,0,Pakistan,Birmingham,06/10/2013,Chris Morris,2013,2013
3,3,6,50.0,0,0,England,The Oval,06/19/2013,Chris Morris,2013,2013
9*,9,17,52.94,0,0,Sri Lanka,Colombo (RPS),07/20/2013,Chris Morris,2013,2013
12,12,13,92.3,3,0,Bangladesh,Dhaka,07/12/2015,Chris Morris,2015,2015
9,9,18,50.0,1,0,India,Chennai,10/22/2015,Chris Morris,2015,2015
62,62,38,163.15,3,4,England,Johannesburg,02/12/2016,Chris Morris,2016,2016
9,9,32,28.12,0,0,West Indies,Providence,06/03/2016,Chris Morris,2016,2016
40,40,26,153.84,2,2,West Indies,Basseterre,06/15/2016,Chris Morris,2016,2016
7,7,8,87.5,1,0,West Indies,Bridgetown,06/24/2016,Chris Morris,2016,2016
26,26,20,130.0,0,2,Sri Lanka,Durban,02/01/2017,Chris Morris,2017,2017
3*,3,4,75.0,0,0,Sri Lanka,Centurion,02/10/2017,Chris Morris,2017,2017
16,16,16,100.0,3,0,New Zealand,Hamilton,02/19/2017,Chris Morris,2017,2017
7,7,8,87.5,1,0,New Zealand,Christchurch,02/22/2017,Chris Morris,2017,2017
28,28,27,103.7,4,0,New Zealand,Hamilton,03/01/2017,Chris Morris,2017,2017
5,5,4,125.0,1,0,England,Leeds,05/24/2017,Chris Morris,2017,2017
35*,35,22,159.09,3,2,England,Southampton,05/27/2017,Chris Morris,2017,2017
20,20,19,105.26,3,0,Sri Lanka,The Oval,06/03/2017,Chris Morris,2017,2017
28,28,45,62.22,1,0,Pakistan,Birmingham,06/07/2017,Chris Morris,2017,2017
4,4,8,50.0,0,0,India,The Oval,06/11/2017,Chris Morris,2017,2017
37,37,43,86.04,4,1,India,Durban,02/01/2018,Chris Morris,2018,2018
14,14,10,140.0,1,1,India,Centurion,02/04/2018,Chris Morris,2018,2018
14,14,10,140.0,1,0,India,Cape Town,02/07/2018,Chris Morris,2018,2018
4,4,8,50.0,0,0,India,Centurion,02/16/2018,Chris Morris,2018,2018
8,8,18,44.44,0,0,Sri Lanka,Centurion,03/06/2019,Anrich Nortje,2019,2019
6,6,6,100.0,1,0,India,Cape Town,02/07/2018,Lungi Ngidi,2018,2018
4*,4,1,400.0,1,0,India,Port Elizabeth,02/13/2018,Lungi Ngidi,2018,2018
0*,0,2,0.0,0,0,India,Centurion,02/16/2018,Lungi Ngidi,2018,2018
1*,1,1,100.0,0,0,Sri Lanka,Pallekele,08/08/2018,Lungi Ngidi,2018,2018
4*,4,14,28.57,1,0,Zimbabwe,Bloemfontein,10/03/2018,Lungi Ngidi,2018,2018
19*,19,20,95.0,1,1,Australia,Adelaide,11/09/2018,Lungi Ngidi,2018,2018
6,6,11,54.54,0,0,Sri Lanka,Centurion,03/06/2019,Lungi Ngidi,2019,2019
10,10,25,40.0,1,0,Bangladesh,Dhaka,07/12/2015,Kagiso Rabada,2015,2015
1,1,5,20.0,0,0,Bangladesh,Chattogram,07/15/2015,Kagiso Rabada,2015,2015
19*,19,23,82.6,3,0,India,Indore,10/14/2015,Kagiso Rabada,2015,2015
0*,0,0,0.0,0,0,India,Rajkot,10/18/2015,Kagiso Rabada,2015,2015
8*,8,9,88.88,1,0,India,Chennai,10/22/2015,Kagiso Rabada,2015,2015
12,12,10,120.0,1,0,England,Port Elizabeth,02/06/2016,Kagiso Rabada,2016,2016
0,0,1,0.0,0,0,England,Johannesburg,02/12/2016,Kagiso Rabada,2016,2016
1*,1,1,100.0,0,0,West Indies,Providence,06/03/2016,Kagiso Rabada,2016,2016
15*,15,27,55.55,0,0,Australia,Providence,06/07/2016,Kagiso Rabada,2016,2016
3*,3,6,50.0,0,0,Australia,Basseterre,06/11/2016,Kagiso Rabada,2016,2016
9,9,15,60.0,1,0,West Indies,Bridgetown,06/24/2016,Kagiso Rabada,2016,2016
9*,9,6,150.0,0,1,Australia,Cape Town,10/12/2016,Kagiso Rabada,2016,2016
19,19,21,90.47,1,1,England,Leeds,05/24/2017,Kagiso Rabada,2017,2017
26,26,23,113.04,2,0,Pakistan,Birmingham,06/07/2017,Kagiso Rabada,2017,2017
5,5,8,62.5,1,0,India,The Oval,06/11/2017,Kagiso Rabada,2017,2017
23*,23,11,209.09,3,1,Bangladesh,East London,10/22/2017,Kagiso Rabada,2017,2017
1,1,1,100.0,0,0,India,Durban,02/01/2018,Kagiso Rabada,2018,2018
1,1,5,20.0,0,0,India,Centurion,02/04/2018,Kagiso Rabada,2018,2018
12*,12,7,171.42,1,1,India,Cape Town,02/07/2018,Kagiso Rabada,2018,2018
3,3,17,17.64,0,0,India,Port Elizabeth,02/13/2018,Kagiso Rabada,2018,2018
12*,12,18,66.66,1,0,Sri Lanka,Colombo (RPS),08/12/2018,Kagiso Rabada,2018,2018
9,9,17,52.94,0,0,Australia,Adelaide,11/09/2018,Kagiso Rabada,2018,2018
0,0,1,0.0,0,0,Pakistan,Johannesburg,01/27/2019,Kagiso Rabada,2019,2019
3,3,6,50.0,0,0,Sri Lanka,Centurion,03/06/2019,Kagiso Rabada,2019,2019
3,3,10,30.0,0,0,Asia XI,Centurion,08/17/2005,Dale Steyn,2005,2005
1,1,5,20.0,0,0,Asia XI,Durban,08/21/2005,Dale Steyn,2005,2005
1*,1,2,50.0,0,0,West Indies,Cape Town,01/25/2008,Dale Steyn,2008,2008
3*,3,2,150.0,0,0,England,Leeds,08/22/2008,Dale Steyn,2008,2008
6,6,6,100.0,1,0,England,Nottingham,08/26/2008,Dale Steyn,2008,2008
5*,5,12,41.66,0,0,England,The Oval,08/29/2008,Dale Steyn,2008,2008
1,1,2,50.0,0,0,Australia,Durban,04/03/2009,Dale Steyn,2009,2009
0,0,1,0.0,0,0,Australia,Johannesburg,04/17/2009,Dale Steyn,2009,2009
17*,17,13,130.76,2,0,England,Centurion,09/27/2009,Dale Steyn,2009,2009
12,12,11,109.09,0,1,England,Centurion,11/22/2009,Dale Steyn,2009,2009
35,35,19,184.21,1,3,India,Jaipur,02/21/2010,Dale Steyn,2010,2010
0,0,4,0.0,0,0,India,Gwalior,02/24/2010,Dale Steyn,2010,2010
2*,2,3,66.66,0,0,West Indies,North Sound,05/22/2010,Dale Steyn,2010,2010
0,0,5,0.0,0,0,West Indies,Roseau,05/28/2010,Dale Steyn,2010,2010
7,7,9,77.77,0,0,India,Durban,01/12/2011,Dale Steyn,2011,2011
6,6,14,42.85,0,0,India,Johannesburg,01/15/2011,Dale Steyn,2011,2011
5,5,8,62.5,0,0,India,Cape Town,01/18/2011,Dale Steyn,2011,2011
4*,4,6,66.66,0,0,India,Port Elizabeth,01/21/2011,Dale Steyn,2011,2011
0,0,1,0.0,0,0,India,Centurion,01/23/2011,Dale Steyn,2011,2011
20,20,31,64.51,3,0,England,Chennai,03/06/2011,Dale Steyn,2011,2011
8,8,18,44.44,1,0,New Zealand,Dhaka,03/25/2011,Dale Steyn,2011,2011
5,5,9,55.55,1,0,Australia,Centurion,10/19/2011,Dale Steyn,2011,2011
1,1,2,50.0,0,0,Sri Lanka,Paarl,01/11/2012,Dale Steyn,2012,2012
1,1,7,14.28,0,0,England,The Oval,08/31/2012,Dale Steyn,2012,2012
3*,3,4,75.0,0,0,England,Lord's,09/02/2012,Dale Steyn,2012,2012
0,0,3,0.0,0,0,New Zealand,Paarl,01/19/2013,Dale Steyn,2013,2013
4,4,6,66.66,0,0,New Zealand,Potchefstroom,01/25/2013,Dale Steyn,2013,2013
0,0,16,0.0,0,0,Pakistan,Centurion,03/15/2013,Dale Steyn,2013,2013
9,9,9,100.0,1,0,Pakistan,Durban,03/21/2013,Dale Steyn,2013,2013
2,2,4,50.0,0,0,Pakistan,Abu Dhabi,11/06/2013,Dale Steyn,2013,2013
15,15,32,46.87,1,1,Pakistan,Cape Town,11/24/2013,Dale Steyn,2013,2013
23,23,35,65.71,4,0,Sri Lanka,Pallekele,07/09/2014,Dale Steyn,2014,2014
10,10,32,31.25,0,0,Zimbabwe,Harare,08/29/2014,Dale Steyn,2014,2014
5,5,10,50.0,1,0,Australia,Harare,09/02/2014,Dale Steyn,2014,2014
0,0,2,0.0,0,0,New Zealand,Mount Maunganui,10/24/2014,Dale Steyn,2014,2014
6,6,12,50.0,1,0,Australia,Perth,11/14/2014,Dale Steyn,2014,2014
4*,4,3,133.33,1,0,Australia,Perth,11/16/2014,Dale Steyn,2014,2014
12,12,6,200.0,1,1,Australia,Canberra,11/19/2014,Dale Steyn,2014,2014
0*,0,4,0.0,0,0,Australia,Melbourne,11/21/2014,Dale Steyn,2014,2014
6*,6,13,46.15,1,0,West Indies,Durban,01/16/2015,Dale Steyn,2015,2015
1,1,7,14.28,0,0,India,Melbourne,02/22/2015,Dale Steyn,2015,2015
16,16,17,94.11,3,0,Pakistan,Auckland,03/07/2015,Dale Steyn,2015,2015
2,2,9,22.22,0,0,New Zealand,Potchefstroom,08/23/2015,Dale Steyn,2015,2015
13,13,16,81.25,1,1,India,Indore,10/14/2015,Dale Steyn,2015,2015
12,12,9,133.33,0,1,India,Rajkot,10/18/2015,Dale Steyn,2015,2015
6,6,7,85.71,1,0,India,Chennai,10/22/2015,Dale Steyn,2015,2015
6*,6,5,120.0,1,0,Australia,Cape Town,10/12/2016,Dale Steyn,2016,2016
60,60,85,70.58,8,1,Zimbabwe,Bloemfontein,10/03/2018,Dale Steyn,2018,2018
4*,4,3,133.33,1,0,Zimbabwe,Paarl,10/06/2018,Dale Steyn,2018,2018
3,3,11,27.27,0,0,Australia,Adelaide,11/09/2018,Dale Steyn,2018,2018
0,0,2,0.0,0,0,Pakistan,Johannesburg,01/27/2019,Dale Steyn,2019,2019
15,15,20,75.0,0,1,Australia,Durban,10/05/2016,Dwaine Pretorius,2016,2016
50,50,27,185.18,4,2,New Zealand,Christchurch,02/22/2017,Dwaine Pretorius,2017,2017
11,11,11,100.0,2,0,New Zealand,Wellington,02/25/2017,Dwaine Pretorius,2017,2017
10,10,21,47.61,1,0,New Zealand,Hamilton,03/01/2017,Dwaine Pretorius,2017,2017
0,0,1,0.0,0,0,Bangladesh,Paarl,10/18/2017,Dwaine Pretorius,2017,2017
14,14,32,43.75,0,0,Australia,Adelaide,11/09/2018,Dwaine Pretorius,2018,2018
1*,1,1,100.0,0,0,Australia,Hobart,11/11/2018,Dwaine Pretorius,2018,2018
31,31,26,119.23,2,1,Sri Lanka,Durban,03/10/2019,Dwaine Pretorius,2019,2019
13*,13,8,162.5,1,1,Australia,Johannesburg,10/02/2016,Andile Phehlukwayo,2016,2016
42*,42,39,107.69,4,2,Australia,Durban,10/05/2016,Andile Phehlukwayo,2016,2016
11,11,9,122.22,0,1,Australia,Cape Town,10/12/2016,Andile Phehlukwayo,2016,2016
29*,29,23,126.08,2,2,New Zealand,Hamilton,02/19/2017,Andile Phehlukwayo,2017,2017
29*,29,34,85.29,4,0,New Zealand,Christchurch,02/22/2017,Andile Phehlukwayo,2017,2017
1*,1,1,100.0,0,0,New Zealand,Wellington,02/25/2017,Andile Phehlukwayo,2017,2017
4,4,6,66.66,1,0,England,Leeds,05/24/2017,Andile Phehlukwayo,2017,2017
4,4,11,36.36,0,0,India,The Oval,06/11/2017,Andile Phehlukwayo,2017,2017
0*,0,0,0.0,0,0,Bangladesh,Paarl,10/18/2017,Andile Phehlukwayo,2017,2017
5,5,4,125.0,1,0,Bangladesh,East London,10/22/2017,Andile Phehlukwayo,2017,2017
27*,27,33,81.81,1,1,India,Durban,02/01/2018,Andile Phehlukwayo,2018,2018
3,3,8,37.5,0,0,India,Cape Town,02/07/2018,Andile Phehlukwayo,2018,2018
23*,23,5,460.0,1,3,India,Johannesburg,02/10/2018,Andile Phehlukwayo,2018,2018
0,0,3,0.0,0,0,India,Port Elizabeth,02/13/2018,Andile Phehlukwayo,2018,2018
34,34,42,80.95,2,2,India,Centurion,02/16/2018,Andile Phehlukwayo,2018,2018
7*,7,19,36.84,1,0,Sri Lanka,Dambulla,08/01/2018,Andile Phehlukwayo,2018,2018
24*,24,11,218.18,3,1,Sri Lanka,Pallekele,08/05/2018,Andile Phehlukwayo,2018,2018
9,9,10,90.0,2,0,Sri Lanka,Pallekele,08/08/2018,Andile Phehlukwayo,2018,2018
3,3,14,21.42,0,0,Sri Lanka,Colombo (RPS),08/12/2018,Andile Phehlukwayo,2018,2018
28,28,44,63.63,1,1,Zimbabwe,Bloemfontein,10/03/2018,Andile Phehlukwayo,2018,2018
0,0,9,0.0,0,0,Zimbabwe,Paarl,10/06/2018,Andile Phehlukwayo,2018,2018
69*,69,80,86.25,7,2,Pakistan,Durban,01/22/2019,Andile Phehlukwayo,2019,2019
11,11,21,52.38,2,0,Pakistan,Johannesburg,01/27/2019,Andile Phehlukwayo,2019,2019
2,2,5,40.0,0,0,Sri Lanka,Centurion,03/06/2019,Andile Phehlukwayo,2019,2019
38*,38,15,253.33,5,1,Sri Lanka,Durban,03/10/2019,Andile Phehlukwayo,2019,2019
4,4,5,80.0,0,0,Sri Lanka,Colombo (RPS),08/20/2004,JP Duminy,2004,2004
22,22,45,48.88,0,0,Sri Lanka,Colombo (RPS),08/22/2004,JP Duminy,2004,2004
3,3,3,100.0,0,0,Sri Lanka,Dambulla,08/25/2004,JP Duminy,2004,2004
0,0,2,0.0,0,0,Sri Lanka,Dambulla,08/28/2004,JP Duminy,2004,2004
0,0,1,0.0,0,0,Sri Lanka,Colombo (SSC),08/31/2004,JP Duminy,2004,2004
60,60,70,85.71,7,0,Zimbabwe,Bloemfontein,09/15/2006,JP Duminy,2006,2006
31*,31,39,79.48,2,0,Zimbabwe,East London,09/18/2006,JP Duminy,2006,2006
24*,24,18,133.33,2,0,Zimbabwe,Potchefstroom,09/20/2006,JP Duminy,2006,2006
11,11,15,73.33,2,0,India,Belfast,06/26/2007,JP Duminy,2007,2007
40,40,59,67.79,3,0,India,Belfast,06/29/2007,JP Duminy,2007,2007
0,0,1,0.0,0,0,India,Belfast,07/01/2007,JP Duminy,2007,2007
3,3,9,33.33,0,0,Zimbabwe,Bulawayo,08/22/2007,JP Duminy,2007,2007
24*,24,31,77.41,3,0,Zimbabwe,Harare,08/25/2007,JP Duminy,2007,2007
6,6,8,75.0,0,0,Zimbabwe,Harare,08/26/2007,JP Duminy,2007,2007
44,44,64,68.75,3,1,Pakistan,Lahore,10/29/2007,JP Duminy,2007,2007
46,46,59,77.96,3,1,New Zealand,Durban,11/25/2007,JP Duminy,2007,2007
23,23,32,71.87,3,0,New Zealand,Port Elizabeth,11/30/2007,JP Duminy,2007,2007
1,1,6,16.66,0,0,New Zealand,Cape Town,12/02/2007,JP Duminy,2007,2007
79*,79,88,89.77,9,1,West Indies,Centurion,01/20/2008,JP Duminy,2008,2008
68,68,81,83.95,4,1,West Indies,Cape Town,01/25/2008,JP Duminy,2008,2008
36*,36,50,72.0,1,1,West Indies,Port Elizabeth,01/27/2008,JP Duminy,2008,2008
44,44,60,73.33,4,0,West Indies,Durban,02/01/2008,JP Duminy,2008,2008
49*,49,93,52.68,1,0,Bangladesh,Dhaka,03/12/2008,JP Duminy,2008,2008
0*,0,4,0.0,0,0,Bangladesh,Dhaka,03/14/2008,JP Duminy,2008,2008
18,18,33,54.54,0,0,England,Leeds,08/22/2008,JP Duminy,2008,2008
8,8,3,266.66,2,0,England,Nottingham,08/26/2008,JP Duminy,2008,2008
18,18,33,54.54,1,0,England,The Oval,08/29/2008,JP Duminy,2008,2008
20,20,18,111.11,2,1,England,Lord's,08/31/2008,JP Duminy,2008,2008
90,90,88,102.27,8,0,Kenya,Bloemfontein,10/31/2008,JP Duminy,2008,2008
10*,10,19,52.63,0,0,Kenya,Kimberley,11/02/2008,JP Duminy,2008,2008
36,36,39,92.3,4,0,Bangladesh,Potchefstroom,11/07/2008,JP Duminy,2008,2008
71,71,93,76.34,0,0,Australia,Melbourne,01/16/2009,JP Duminy,2009,2009
35,35,34,102.94,3,0,Australia,Hobart,01/18/2009,JP Duminy,2009,2009
9,9,23,39.13,1,0,Australia,Sydney,01/23/2009,JP Duminy,2009,2009
60*,60,42,142.85,3,3,Australia,Perth,01/30/2009,JP Duminy,2009,2009
15,15,33,45.45,0,0,Australia,Durban,04/03/2009,JP Duminy,2009,2009
11*,11,19,57.89,1,0,Australia,Centurion,04/05/2009,JP Duminy,2009,2009
32,32,26,123.07,2,1,Australia,Cape Town,04/09/2009,JP Duminy,2009,2009
40,40,25,160.0,4,0,Australia,Port Elizabeth,04/13/2009,JP Duminy,2009,2009
3,3,8,37.5,0,0,Australia,Johannesburg,04/17/2009,JP Duminy,2009,2009
0,0,1,0.0,0,0,Sri Lanka,Centurion,09/22/2009,JP Duminy,2009,2009
11,11,13,84.61,2,0,New Zealand,Centurion,09/24/2009,JP Duminy,2009,2009
24,24,33,72.72,1,0,England,Centurion,09/27/2009,JP Duminy,2009,2009
111*,111,87,127.58,9,2,Zimbabwe,Centurion,11/10/2009,JP Duminy,2009,2009
41,41,47,87.23,5,1,England,Centurion,11/22/2009,JP Duminy,2009,2009
6,6,15,40.0,0,0,England,Cape Town,11/27/2009,JP Duminy,2009,2009
6,6,10,60.0,1,0,England,Port Elizabeth,11/29/2009,JP Duminy,2009,2009
0,0,1,0.0,0,0,India,Gwalior,02/24/2010,JP Duminy,2010,2010
15,15,27,55.55,0,1,West Indies,North Sound,05/22/2010,JP Duminy,2010,2010
32*,32,38,84.21,1,0,West Indies,Roseau,05/30/2010,JP Duminy,2010,2010
51,51,75,68.0,1,0,West Indies,Port of Spain,06/03/2010,JP Duminy,2010,2010
6*,6,4,150.0,0,0,Zimbabwe,Bloemfontein,10/15/2010,JP Duminy,2010,2010
15*,15,18,83.33,1,0,Zimbabwe,Potchefstroom,10/17/2010,JP Duminy,2010,2010
129,129,117,110.25,7,4,Zimbabwe,Benoni,10/22/2010,JP Duminy,2010,2010
10*,10,29,34.48,0,0,Pakistan,Abu Dhabi,10/29/2010,JP Duminy,2010,2010
54,54,43,125.58,3,1,Pakistan,Abu Dhabi,10/31/2010,JP Duminy,2010,2010
26,26,38,68.42,0,0,Pakistan,Dubai (DSC),11/02/2010,JP Duminy,2010,2010
36,36,51,70.58,1,0,Pakistan,Dubai (DSC),11/05/2010,JP Duminy,2010,2010
59*,59,41,143.9,8,0,Pakistan,Dubai (DSC),11/08/2010,JP Duminy,2010,2010
73,73,89,82.02,1,1,India,Durban,01/12/2011,JP Duminy,2011,2011
13,13,19,68.42,1,0,India,Johannesburg,01/15/2011,JP Duminy,2011,2011
52,52,59,88.13,2,0,India,Cape Town,01/18/2011,JP Duminy,2011,2011
71*,71,72,98.61,2,1,India,Port Elizabeth,01/21/2011,JP Duminy,2011,2011
35,35,44,79.54,1,0,India,Centurion,01/23/2011,JP Duminy,2011,2011
42*,42,53,79.24,1,0,West Indies,Delhi,02/24/2011,JP Duminy,2011,2011
40,40,15,266.66,2,4,Netherlands,Mohali,03/03/2011,JP Duminy,2011,2011
0,0,4,0.0,0,0,England,Chennai,03/06/2011,JP Duminy,2011,2011
23,23,20,115.0,2,1,India,Nagpur,03/12/2011,JP Duminy,2011,2011
99,99,103,96.11,6,1,Ireland,Kolkata,03/15/2011,JP Duminy,2011,2011
17,17,22,77.27,1,0,Bangladesh,Dhaka,03/19/2011,JP Duminy,2011,2011
3,3,12,25.0,0,0,New Zealand,Dhaka,03/25/2011,JP Duminy,2011,2011
4,4,2,200.0,1,0,Australia,Centurion,10/19/2011,JP Duminy,2011,2011
56,56,58,96.55,2,2,Australia,Port Elizabeth,10/23/2011,JP Duminy,2011,2011
35,35,58,60.34,1,0,Australia,Durban,10/28/2011,JP Duminy,2011,2011
1,1,2,50.0,0,0,Sri Lanka,Paarl,01/11/2012,JP Duminy,2012,2012
66*,66,87,75.86,0,1,Sri Lanka,East London,01/14/2012,JP Duminy,2012,2012
25,25,34,73.52,2,0,Sri Lanka,Bloemfontein,01/17/2012,JP Duminy,2012,2012
36,36,47,76.59,2,0,Sri Lanka,Kimberley,01/20/2012,JP Duminy,2012,2012
5*,5,2,250.0,1,0,Sri Lanka,Johannesburg,01/22/2012,JP Duminy,2012,2012
46,46,74,62.16,2,0,New Zealand,Wellington,02/25/2012,JP Duminy,2012,2012
43,43,39,110.25,6,0,New Zealand,Napier,02/29/2012,JP Duminy,2012,2012
25,25,37,67.56,3,0,New Zealand,Auckland,03/03/2012,JP Duminy,2012,2012
14,14,24,58.33,1,0,England,Southampton,08/28/2012,JP Duminy,2012,2012
33,33,46,71.73,2,0,England,The Oval,08/31/2012,JP Duminy,2012,2012
18,18,22,81.81,3,0,England,Lord's,09/02/2012,JP Duminy,2012,2012
150*,150,122,122.95,5,8,Netherlands,Amstelveen,05/31/2013,JP Duminy,2013,2013
14,14,24,58.33,0,0,India,Cardiff,06/06/2013,JP Duminy,2013,2013
24,24,38,63.15,1,0,Pakistan,Birmingham,06/10/2013,JP Duminy,2013,2013
2,2,5,40.0,0,0,West Indies,Cardiff,06/14/2013,JP Duminy,2013,2013
3,3,11,27.27,0,0,England,The Oval,06/19/2013,JP Duminy,2013,2013
15,15,22,68.18,3,0,Sri Lanka,Colombo (RPS),07/20/2013,JP Duminy,2013,2013
15,15,17,88.23,2,0,Sri Lanka,Colombo (RPS),07/23/2013,JP Duminy,2013,2013
23,23,44,52.27,3,0,Sri Lanka,Pallekele,07/26/2013,JP Duminy,2013,2013
97,97,121,80.16,7,2,Sri Lanka,Pallekele,07/28/2013,JP Duminy,2013,2013
15,15,14,107.14,3,0,Sri Lanka,Colombo (RPS),07/31/2013,JP Duminy,2013,2013
20,20,36,55.55,3,0,Pakistan,Sharjah,10/30/2013,JP Duminy,2013,2013
25,25,45,55.55,3,0,Pakistan,Dubai (DSC),11/01/2013,JP Duminy,2013,2013
64,64,88,72.72,3,0,Pakistan,Abu Dhabi,11/06/2013,JP Duminy,2013,2013
25*,25,21,119.04,1,1,Pakistan,Abu Dhabi,11/08/2013,JP Duminy,2013,2013
2,2,9,22.22,0,0,Pakistan,Sharjah,11/11/2013,JP Duminy,2013,2013
49,49,70,70.0,4,0,Pakistan,Cape Town,11/24/2013,JP Duminy,2013,2013
15,15,18,83.33,1,0,Pakistan,Port Elizabeth,11/27/2013,JP Duminy,2013,2013
16,16,23,69.56,2,0,Pakistan,Centurion,11/30/2013,JP Duminy,2013,2013
59*,59,29,203.44,2,5,India,Johannesburg,12/05/2013,JP Duminy,2013,2013
26,26,29,89.65,2,0,India,Durban,12/08/2013,JP Duminy,2013,2013
0,0,3,0.0,0,0,India,Centurion,12/11/2013,JP Duminy,2013,2013
16,16,25,64.0,0,0,Sri Lanka,Colombo (RPS),07/06/2014,JP Duminy,2014,2014
1,1,4,25.0,0,0,Sri Lanka,Pallekele,07/09/2014,JP Duminy,2014,2014
29,29,24,120.83,2,1,Sri Lanka,Hambantota,07/12/2014,JP Duminy,2014,2014
22*,22,11,200.0,2,1,Zimbabwe,Bulawayo,08/17/2014,JP Duminy,2014,2014
36,36,47,76.59,2,0,Zimbabwe,Bulawayo,08/19/2014,JP Duminy,2014,2014
28*,28,45,62.22,0,1,Zimbabwe,Bulawayo,08/21/2014,JP Duminy,2014,2014
33*,33,29,113.79,1,1,Australia,Harare,08/27/2014,JP Duminy,2014,2014
2,2,12,16.66,0,0,Zimbabwe,Harare,08/29/2014,JP Duminy,2014,2014
16,16,32,50.0,1,0,Australia,Harare,09/02/2014,JP Duminy,2014,2014
51,51,62,82.25,3,0,Zimbabwe,Harare,09/04/2014,JP Duminy,2014,2014
0*,0,0,0.0,0,0,Australia,Harare,09/06/2014,JP Duminy,2014,2014
58*,58,72,80.55,3,2,New Zealand,Mount Maunganui,10/21/2014,JP Duminy,2014,2014
19,19,16,118.75,2,0,New Zealand,Mount Maunganui,10/24/2014,JP Duminy,2014,2014
12,12,17,70.58,0,0,West Indies,Durban,01/16/2015,JP Duminy,2015,2015
43,43,68,63.23,3,0,West Indies,Port Elizabeth,01/25/2015,JP Duminy,2015,2015
18*,18,7,257.14,3,1,West Indies,Centurion,01/28/2015,JP Duminy,2015,2015
115*,115,100,115.0,9,3,Zimbabwe,Hamilton,02/15/2015,JP Duminy,2015,2015
6,6,15,40.0,0,0,India,Melbourne,02/22/2015,JP Duminy,2015,2015
12,12,13,92.3,2,0,Pakistan,Auckland,03/07/2015,JP Duminy,2015,2015
23,23,28,82.14,1,0,U.A.E.,Wellington,03/12/2015,JP Duminy,2015,2015
8*,8,4,200.0,1,0,New Zealand,Auckland,03/24/2015,JP Duminy,2015,2015
13,13,21,61.9,1,0,Bangladesh,Dhaka,07/12/2015,JP Duminy,2015,2015
51,51,70,72.85,3,0,Bangladesh,Chattogram,07/15/2015,JP Duminy,2015,2015
15,15,17,88.23,0,1,India,Kanpur,10/11/2015,JP Duminy,2015,2015
36,36,46,78.26,3,0,India,Indore,10/14/2015,JP Duminy,2015,2015
14,14,14,100.0,1,0,India,Rajkot,10/18/2015,JP Duminy,2015,2015
13,13,21,61.9,1,0,England,Bloemfontein,02/03/2016,JP Duminy,2016,2016
47,47,66,71.21,2,0,England,Port Elizabeth,02/06/2016,JP Duminy,2016,2016
31,31,49,63.26,3,0,England,Johannesburg,02/12/2016,JP Duminy,2016,2016
23,23,34,67.64,0,0,West Indies,Providence,06/03/2016,JP Duminy,2016,2016
13,13,22,59.09,0,0,Australia,Providence,06/07/2016,JP Duminy,2016,2016
41,41,39,105.12,4,1,Australia,Basseterre,06/11/2016,JP Duminy,2016,2016
10*,10,5,200.0,0,1,West Indies,Basseterre,06/15/2016,JP Duminy,2016,2016
5,5,7,71.42,0,0,West Indies,Bridgetown,06/24/2016,JP Duminy,2016,2016
52*,52,43,120.93,4,1,Ireland,Benoni,09/25/2016,JP Duminy,2016,2016
9,9,8,112.5,2,0,Australia,Centurion,09/30/2016,JP Duminy,2016,2016
82,82,58,141.37,10,3,Australia,Johannesburg,10/02/2016,JP Duminy,2016,2016
20,20,26,76.92,0,0,Australia,Durban,10/05/2016,JP Duminy,2016,2016
25,25,45,55.55,4,0,Australia,Port Elizabeth,10/09/2016,JP Duminy,2016,2016
73,73,75,97.33,8,0,Australia,Cape Town,10/12/2016,JP Duminy,2016,2016
11,11,19,57.89,0,0,Sri Lanka,Durban,02/01/2017,JP Duminy,2017,2017
28*,28,40,70.0,2,0,Sri Lanka,Johannesburg,02/04/2017,JP Duminy,2017,2017
20,20,22,90.9,2,0,Sri Lanka,Cape Town,02/07/2017,JP Duminy,2017,2017
10,10,12,83.33,1,0,Sri Lanka,Centurion,02/10/2017,JP Duminy,2017,2017
1,1,4,25.0,0,0,New Zealand,Hamilton,02/19/2017,JP Duminy,2017,2017
34,34,44,77.27,3,0,New Zealand,Christchurch,02/22/2017,JP Duminy,2017,2017
16,16,34,47.05,1,0,New Zealand,Wellington,02/25/2017,JP Duminy,2017,2017
25,25,41,60.97,1,0,New Zealand,Hamilton,03/01/2017,JP Duminy,2017,2017
3,3,10,30.0,0,0,New Zealand,Auckland,03/04/2017,JP Duminy,2017,2017
15,15,18,83.33,1,0,England,Leeds,05/24/2017,JP Duminy,2017,2017
28*,28,43,65.11,3,0,England,Lord's,05/29/2017,JP Duminy,2017,2017
